#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 11 09 14 06 258  1.4  2.2 99.00 99.00 99.00 999 1013.5  12.0 999.0 999.0 99.0 99.00
2016 11 09 14 12 235  1.9  2.6 99.00 99.00 99.00 999 1013.4  12.2 999.0 999.0 99.0 99.00
2016 11 09 14 18 218  0.9  2.7 99.00 99.00 99.00 999 1013.4  12.3 999.0 999.0 99.0 99.00
2016 11 09 14 24 257  1.4  2.3 99.00 99.00 99.00 999 1013.1  12.5 999.0 999.0 99.0 99.00
2016 11 09 14 30 267  1.3  1.9 99.00 99.00 99.00 999 1013.1  12.5 999.0 999.0 99.0 99.00
2016 11 09 14 36 310  2.4  3.3 99.00 99.00 99.00 999 1013.1  12.5 999.0 999.0 99.0 99.00
2016 11 09 14 42 302  2.6  4.1 99.00 99.00 99.00 999 1012.9  12.4 999.0 999.0 99.0 99.00
2016 11 09 14 48 272  3.1  3.9 99.00 99.00 99.00 999 1013.1  12.2 999.0 999.0 99.0 99.00
2016 11 09 14 54 239  3.8  5.0 99.00 99.00 99.00 999 1013.1  12.0 999.0 999.0 99.0 99.00
2016 11 09 15 00 233  3.2  5.5 99.00 99.00 99.00 999 1013.3  12.1 999.0 999.0 99.0 99.00
2016 11 09 15 06 257  3.2  4.5 99.00 99.00 99.00 999 1013.3  12.0 999.0 999.0 99.0 99.00
2016 11 09 15 12 248  3.4  4.1 99.00 99.00 99.00 999 1013.3  12.0 999.0 999.0 99.0 99.00
2016 11 09 15 18 280  2.2  3.2 99.00 99.00 99.00 999 1013.1  12.0 999.0 999.0 99.0 99.00
2016 11 09 15 24 262  3.0  3.8 99.00 99.00 99.00 999 1013.0  12.0 999.0 999.0 99.0 99.00
2016 11 09 15 30 298  2.8  4.2 99.00 99.00 99.00 999 1013.0  12.1 999.0 999.0 99.0 99.00
2016 11 09 15 36 278  2.3  4.7 99.00 99.00 99.00 999 1012.8  12.1 999.0 999.0 99.0 99.00
2016 11 09 15 42 287  3.5  4.7 99.00 99.00 99.00 999 1012.7  12.3 999.0 999.0 99.0 99.00
2016 11 09 15 48 292  3.7  5.4 99.00 99.00 99.00 999 1012.6  12.5 999.0 999.0 99.0 99.00
2016 11 09 15 54 317  3.5  6.0 99.00 99.00 99.00 999 1012.6  12.5 999.0 999.0 99.0 99.00
2016 11 09 16 00 332  3.7  6.0 99.00 99.00 99.00 999 1012.7  12.5 999.0 999.0 99.0 99.00
2016 11 09 16 06 270  3.9  5.9 99.00 99.00 99.00 999 1012.3  12.5 999.0 999.0 99.0 99.00
2016 11 09 16 12 313  3.6  7.0 99.00 99.00 99.00 999 1012.7  12.6 999.0 999.0 99.0 99.00
2016 11 09 16 18 310  2.1  6.0 99.00 99.00 99.00 999 1012.3  12.5 999.0 999.0 99.0 99.00
2016 11 09 16 24 255  3.4  4.8 99.00 99.00 99.00 999 1012.3  12.7 999.0 999.0 99.0 99.00
2016 11 09 16 30 271  2.0  4.5 99.00 99.00 99.00 999 1012.5  12.7 999.0 999.0 99.0 99.00
2016 11 09 16 36 249  2.2  3.3 99.00 99.00 99.00 999 1012.4  12.7 999.0 999.0 99.0 99.00
2016 11 09 16 42 242  1.8  4.5 99.00 99.00 99.00 999 1012.6  12.8 999.0 999.0 99.0 99.00
2016 11 09 16 48 251  2.3  3.5 99.00 99.00 99.00 999 1012.5  12.8 999.0 999.0 99.0 99.00
2016 11 09 16 54 250  2.2  3.2 99.00 99.00 99.00 999 1012.3  12.7 999.0 999.0 99.0 99.00
2016 11 09 17 00 229  1.6  2.6 99.00 99.00 99.00 999 1012.2  12.8 999.0 999.0 99.0 99.00
