"av",""
93.9,1.1
93.7,2.5
98.8,16.8
98.9,1012.4
97.6,2.3
97.6,3.1
98.7,17
98.7,1012.2
97.8,2.7
97.8,4.2
98.9,14.3
99,1012.5
92.5,1.9
92.5,3
93.6,16.6
93.6,1012.3
95.7,16.2
81.7,1.8
81.7,2.5
84.5,15.8
84.5,1012.4
85.5,2.3
85.5,2.7
88.5,5.8
88.5,7.2
93.3,18.5
93.4,1011.5
95.2,1.4
95.2,2.3
96.6,17
96.6,1012.8
95.1,5
95.1,7.2
96.2,21
96.2,1010.9
84.7,1.3
84.7,1.7
87.8,16.5
76.1,1011.2
96.9,16.8
93.9,1.4
93.9,1.8
98,16.6
98,1012.1
96.1,1.5
95.7,2.3
97.6,17.9
97.7,1012.7
3.3,1
3.3,15.9
3.3,1012.4
41.2,5.6
41.2,8.1
