"","lan","lon","RMSE","Variable","Methods"
"1",37.772,-122.3,0.449,"WSPD","PLSR"
"2",38.056,-122.264,0.462,"WSPD","PLSR"
"3",37.806,-122.466,0.611,"WSPD","PLSR"
"4",37.795,-122.281,0.379,"WSPD","PLSR"
"7",37.801,-122.33,0.487,"WSPD","PLSR"
"8",38.056,-122.039,0.604,"WSPD","PLSR"
"9",37.906,-122.365,0.592,"WSPD","PLSR"
"10",38.04,-121.887,0.549,"WSPD","PLSR"
"13",37.923,-122.41,0.514,"WSPD","PLSR"
"14",37.507,-122.212,0.359,"WSPD","PLSR"
"15",37.772,-122.3,0.515,"GST","PLSR"
"21",38.056,-122.264,0.528,"GST","PLSR"
"31",37.806,-122.466,0.768,"GST","PLSR"
"41",37.795,-122.281,0.476,"GST","PLSR"
"71",37.801,-122.33,0.53,"GST","PLSR"
"81",38.056,-122.039,0.643,"GST","PLSR"
"91",37.906,-122.365,0.704,"GST","PLSR"
"101",38.04,-121.887,0.667,"GST","PLSR"
"131",37.923,-122.41,0.594,"GST","PLSR"
"141",37.507,-122.212,0.437,"GST","PLSR"
"16",37.772,-122.3,0.413,"ATMP","PLSR"
"22",38.056,-122.264,0.617,"ATMP","PLSR"
"32",37.806,-122.466,0.638,"ATMP","PLSR"
"42",37.795,-122.281,0.404,"ATMP","PLSR"
"5",37.804,-122.341,0.382,"ATMP","PLSR"
"82",38.056,-122.039,0.828,"ATMP","PLSR"
"92",37.906,-122.365,0.547,"ATMP","PLSR"
"102",38.04,-121.887,1.188,"ATMP","PLSR"
"11",37.798,-122.393,0.346,"ATMP","PLSR"
"12",37.803,-122.397,0.331,"ATMP","PLSR"
"132",37.923,-122.41,0.471,"ATMP","PLSR"
"142",37.507,-122.212,0.936,"ATMP","PLSR"
"17",37.772,-122.3,0.202,"PRES","PLSR"
"23",38.056,-122.264,0.211,"PRES","PLSR"
"33",37.806,-122.466,0.407,"PRES","PLSR"
"43",37.795,-122.281,0.19,"PRES","PLSR"
"83",38.056,-122.039,0.331,"PRES","PLSR"
"93",37.906,-122.365,0.128,"PRES","PLSR"
"103",38.04,-121.887,0.472,"PRES","PLSR"
"133",37.923,-122.41,0.255,"PRES","PLSR"
"143",37.507,-122.212,0.48,"PRES","PLSR"
"18",37.772,-122.3,0.933,"WSPD","PCClust"
"24",38.056,-122.264,1.509,"WSPD","PCClust"
"34",37.806,-122.466,1.353,"WSPD","PCClust"
"44",37.795,-122.281,0.832,"WSPD","PCClust"
"72",37.801,-122.33,1.282,"WSPD","PCClust"
"84",38.056,-122.039,1.566,"WSPD","PCClust"
"94",37.906,-122.365,1.741,"WSPD","PCClust"
"104",38.04,-121.887,1.544,"WSPD","PCClust"
"134",37.923,-122.41,1.221,"WSPD","PCClust"
"144",37.507,-122.212,1.182,"WSPD","PCClust"
"151",37.772,-122.3,1.141,"GST","PCClust"
"211",38.056,-122.264,1.797,"GST","PCClust"
"311",37.806,-122.466,1.641,"GST","PCClust"
"411",37.795,-122.281,1.059,"GST","PCClust"
"711",37.801,-122.33,1.438,"GST","PCClust"
"811",38.056,-122.039,1.7,"GST","PCClust"
"911",37.906,-122.365,2.069,"GST","PCClust"
"1011",38.04,-121.887,1.952,"GST","PCClust"
"1311",37.923,-122.41,1.383,"GST","PCClust"
"1411",37.507,-122.212,1.498,"GST","PCClust"
"161",37.772,-122.3,0.938,"ATMP","PCClust"
"221",38.056,-122.264,1.093,"ATMP","PCClust"
"321",37.806,-122.466,1.086,"ATMP","PCClust"
"421",37.795,-122.281,0.925,"ATMP","PCClust"
"51",37.804,-122.341,0.907,"ATMP","PCClust"
"821",38.056,-122.039,1.466,"ATMP","PCClust"
"921",37.906,-122.365,1.009,"ATMP","PCClust"
"1021",38.04,-121.887,1.915,"ATMP","PCClust"
"111",37.798,-122.393,0.879,"ATMP","PCClust"
"121",37.803,-122.397,0.911,"ATMP","PCClust"
"1321",37.923,-122.41,0.914,"ATMP","PCClust"
"1421",37.507,-122.212,1.338,"ATMP","PCClust"
"171",37.772,-122.3,1.56,"PRES","PCClust"
"231",38.056,-122.264,1.518,"PRES","PCClust"
"331",37.806,-122.466,1.556,"PRES","PCClust"
"431",37.795,-122.281,1.531,"PRES","PCClust"
"831",38.056,-122.039,1.589,"PRES","PCClust"
"931",37.906,-122.365,1.529,"PRES","PCClust"
"1031",38.04,-121.887,1.647,"PRES","PCClust"
"1331",37.923,-122.41,1.568,"PRES","PCClust"
"1431",37.507,-122.212,1.615,"PRES","PCClust"
