"lat","lon","RMSE","Variable","Methods"
36.926,-76.007,0.611349997760701,"WSPD","PLSR"
36.962,-76.424,0.66522802480397,"WSPD","PLSR"
37.165,-75.988,0.574337081528551,"WSPD","PLSR"
36.778,-76.302,0.512203327906907,"WSPD","PLSR"
36.977,-76.315,0.526724391324327,"WSPD","PLSR"
37.251,-76.342,0.337819556842975,"WSPD","PLSR"
37.227,-76.47,0.56933389763685,"WSPD","PLSR"
36.926,-76.007,0.693288891415494,"GST","PLSR"
36.962,-76.424,0.684551520403047,"GST","PLSR"
37.165,-75.988,0.653057240344872,"GST","PLSR"
36.778,-76.302,0.71228014506138,"GST","PLSR"
36.977,-76.315,0.579885164218551,"GST","PLSR"
37.251,-76.342,0.374661938363832,"GST","PLSR"
37.227,-76.47,0.657757628380631,"GST","PLSR"
36.926,-76.007,0.953350488766619,"ATMP","PLSR"
36.962,-76.424,0.687457886802431,"ATMP","PLSR"
36.778,-76.302,1.17794272433864,"ATMP","PLSR"
36.977,-76.315,0.679192714412662,"ATMP","PLSR"
37.251,-76.342,0.933940646430618,"ATMP","PLSR"
37.227,-76.47,0.764009491815905,"ATMP","PLSR"
36.962,-76.424,0.21818233053472,"PRES","PLSR"
36.778,-76.302,0.323847676305133,"PRES","PLSR"
36.943,-76.329,0.21383842827026,"PRES","PLSR"
36.977,-76.315,0.650978193046662,"PRES","PLSR"
37.251,-76.342,0.896466135737847,"PRES","PLSR"
37.227,-76.47,0.270487052374888,"PRES","PLSR"
36.926,-76.007,1.67762670117222,"WSPD","ClustAnEn"
36.962,-76.424,1.65693844558006,"WSPD","ClustAnEn"
37.165,-75.988,1.60429301136237,"WSPD","ClustAnEn"
36.778,-76.302,1.00517158166447,"WSPD","ClustAnEn"
36.977,-76.315,1.22827848810657,"WSPD","ClustAnEn"
37.251,-76.342,1.30774304018257,"WSPD","ClustAnEn"
37.227,-76.47,1.27709381746214,"WSPD","ClustAnEn"
36.926,-76.007,1.67492147615576,"GST","ClustAnEn"
36.962,-76.424,1.5487438615287,"GST","ClustAnEn"
37.165,-75.988,1.85096852487117,"GST","ClustAnEn"
36.778,-76.302,1.3909396290514,"GST","ClustAnEn"
36.977,-76.315,1.40846672388071,"GST","ClustAnEn"
37.251,-76.342,1.46834903948296,"GST","ClustAnEn"
37.227,-76.47,1.43765946776308,"GST","ClustAnEn"
36.926,-76.007,1.57979304182888,"ATMP","ClustAnEn"
36.962,-76.424,1.4564047540527,"ATMP","ClustAnEn"
36.778,-76.302,1.828288902391,"ATMP","ClustAnEn"
36.977,-76.315,1.4207600342843,"ATMP","ClustAnEn"
37.251,-76.342,1.63074784472376,"ATMP","ClustAnEn"
37.227,-76.47,1.45926509843939,"ATMP","ClustAnEn"
36.962,-76.424,1.2818919773852,"PRES","ClustAnEn"
36.778,-76.302,1.38505754090927,"PRES","ClustAnEn"
36.943,-76.329,1.31407551429117,"PRES","ClustAnEn"
36.977,-76.315,1.44274770492293,"PRES","ClustAnEn"
37.251,-76.342,1.49488250192761,"PRES","ClustAnEn"
37.227,-76.47,1.28727079323209,"PRES","ClustAnEn"
