"","BIAS","RMSE","SDE","NA%","Name"
"1","0.114","1.607","1.603","11.203","aamc1WSPD"
"2","0.136","2.096","2.091","11.203","aamc1GST"
"3","-0.51","2.842","2.795","11.203","aamc1ATMP"
"4","0.093","5.055","5.054","11.203","aamc1PRES"
"5","0.148","2.357","2.353","11.203","dpxc1WSPD"
"6","0.277","3.025","3.012","11.203","dpxc1GST"
"7","-0.519","3.235","3.193","11.203","dpxc1ATMP"
"8","0.022","5.332","5.332","11.203","dpxc1PRES"
"9","0.106","1.711","1.708","11.203","ftpc1WSPD"
"10","0.134","2.489","2.485","11.203","ftpc1GST"
"11","-0.477","2.617","2.574","11.203","ftpc1ATMP"
"12","-0.17","5.12","5.117","11.203","ftpc1PRES"
"13","0.132","1.347","1.34","11.203","lndc1WSPD"
"14","0.111","1.923","1.92","11.203","lndc1GST"
"15","-0.369","2.845","2.821","11.203","lndc1ATMP"
"16","-0.044","4.993","4.993","11.203","lndc1PRES"
"17","-0.344","2.872","2.851","11.203","obxc1ATMP"
"18","0.318","2.126","2.102","11.203","omhc1WSPD"
"19","0.366","2.634","2.608","11.203","omhc1GST"
"20","0","2.868","2.868","11.203","pcoc1WSPD"
"21","0.062","3.375","3.375","11.203","pcoc1GST"
"22","-0.342","3.903","3.888","11.203","pcoc1ATMP"
"23","-0.138","5.381","5.379","11.203","pcoc1PRES"
"24","0.571","2.714","2.654","11.203","ppxc1WSPD"
"25","0.834","3.377","3.273","11.203","ppxc1GST"
"26","-0.544","2.826","2.773","11.203","ppxc1ATMP"
"27","0.084","5.051","5.05","11.203","ppxc1PRES"
"28","0.09","2.747","2.746","11.203","psbc1WSPD"
"29","0.276","3.618","3.607","11.203","psbc1GST"
"30","-0.147","4.262","4.259","11.203","psbc1ATMP"
"31","-0.235","5.767","5.762","11.203","psbc1PRES"
"32","-0.421","2.066","2.022","11.203","pxoc1ATMP"
"33","-0.315","2.458","2.438","11.203","pxsc1ATMP"
"34","0.041","1.656","1.656","11.203","rcmc1WSPD"
"35","0.083","2.268","2.267","11.203","rcmc1GST"
"36","-0.413","2.745","2.714","11.203","rcmc1ATMP"
"37","0.231","5.198","5.193","11.203","rcmc1PRES"
"38","-0.041","1.543","1.543","11.203","rtyc1WSPD"
"39","-0.046","1.989","1.989","11.203","rtyc1GST"
"40","-0.513","3.63","3.593","11.203","rtyc1ATMP"
"41","0.658","5.251","5.21","11.203","rtyc1PRES"
