"lat","lon","RMSE","Variable","NA%","Methods"
36.926,-76.007,1.682,"WSPD",16.364,"PLSR"
36.962,-76.424,1.552,"WSPD",16.248,"PLSR"
37.165,-75.988,1.656,"WSPD",16.248,"PLSR"
36.778,-76.302,1.048,"WSPD",9.68,"PLSR"
36.977,-76.315,1.267,"WSPD",16.394,"PLSR"
37.251,-76.342,1.279,"WSPD",13.02,"PLSR"
37.227,-76.47,1.3,"WSPD",16.37,"PLSR"
36.926,-76.007,1.726,"GST",16.364,"PLSR"
36.962,-76.424,1.611,"GST",16.248,"PLSR"
37.165,-75.988,1.874,"GST",16.248,"PLSR"
36.778,-76.302,1.399,"GST",9.68,"PLSR"
36.977,-76.315,1.4,"GST",16.394,"PLSR"
37.251,-76.342,1.448,"GST",13.02,"PLSR"
37.227,-76.47,1.472,"GST",16.37,"PLSR"
36.926,-76.007,0.991,"ATMP",8.7,"PLSR"
36.962,-76.424,0.705,"ATMP",8.61,"PLSR"
36.778,-76.302,1.153,"ATMP",8.261,"PLSR"
36.977,-76.315,0.688,"ATMP",8.774,"PLSR"
37.251,-76.342,0.79,"ATMP",5.852,"PLSR"
37.227,-76.47,0.793,"ATMP",5.988,"PLSR"
36.962,-76.424,0.18,"PRES",8.345,"PLSR"
36.778,-76.302,0.272,"PRES",8.636,"PLSR"
36.943,-76.329,0.154,"PRES",7.592,"PLSR"
36.977,-76.315,0.4,"PRES",8.833,"PLSR"
37.251,-76.342,0.58,"PRES",5.827,"PLSR"
37.227,-76.47,0.466,"PRES",6.475,"PLSR"
36.926,-76.007,2.061,"WSPD",16.376,"ClustAnEn"
36.962,-76.424,1.881,"WSPD",16.254,"ClustAnEn"
37.165,-75.988,1.775,"WSPD",16.26,"ClustAnEn"
36.778,-76.302,1.047,"WSPD",9.685,"ClustAnEn"
36.977,-76.315,1.339,"WSPD",16.406,"ClustAnEn"
37.251,-76.342,1.407,"WSPD",13.026,"ClustAnEn"
37.227,-76.47,1.354,"WSPD",16.382,"ClustAnEn"
36.926,-76.007,1.902,"GST",16.376,"ClustAnEn"
36.962,-76.424,1.746,"GST",16.254,"ClustAnEn"
37.165,-75.988,1.981,"GST",16.26,"ClustAnEn"
36.778,-76.302,1.431,"GST",9.685,"ClustAnEn"
36.977,-76.315,1.449,"GST",16.406,"ClustAnEn"
37.251,-76.342,1.562,"GST",13.026,"ClustAnEn"
37.227,-76.47,1.506,"GST",16.382,"ClustAnEn"
36.926,-76.007,1.022,"ATMP",8.716,"ClustAnEn"
36.962,-76.424,0.779,"ATMP",8.62,"ClustAnEn"
36.778,-76.302,1.411,"ATMP",8.277,"ClustAnEn"
36.977,-76.315,0.737,"ATMP",8.785,"ClustAnEn"
37.251,-76.342,1.034,"ATMP",5.868,"ClustAnEn"
37.227,-76.47,0.824,"ATMP",5.994,"ClustAnEn"
36.962,-76.424,0.29,"PRES",8.345,"ClustAnEn"
36.778,-76.302,0.504,"PRES",8.642,"ClustAnEn"
36.943,-76.329,0.309,"PRES",7.597,"ClustAnEn"
36.977,-76.315,0.613,"PRES",8.838,"ClustAnEn"
37.251,-76.342,1.028,"PRES",5.832,"ClustAnEn"
37.227,-76.47,0.387,"PRES",6.48,"ClustAnEn"
