"","BIAS","RMSE","SDE","NA%","Name"
"1","-0.022","0.449","0.449","11.203","aamc1WSPD"
"2","-0.021","0.515","0.515","11.203","aamc1GST"
"3","0.001","0.413","0.413","11.203","aamc1ATMP"
"4","-0.03","0.202","0.2","11.203","aamc1PRES"
"5","-0.022","0.462","0.461","11.203","dpxc1WSPD"
"6","0.02","0.528","0.527","11.203","dpxc1GST"
"7","-0.001","0.617","0.617","11.203","dpxc1ATMP"
"8","-0.071","0.211","0.199","11.203","dpxc1PRES"
"9","0.019","0.611","0.611","11.203","ftpc1WSPD"
"10","-0.027","0.768","0.767","11.203","ftpc1GST"
"11","-0.035","0.638","0.637","11.203","ftpc1ATMP"
"12","-0.294","0.407","0.281","11.203","ftpc1PRES"
"13","-0.019","0.379","0.379","11.203","lndc1WSPD"
"14","0.004","0.476","0.476","11.203","lndc1GST"
"15","0.004","0.404","0.404","11.203","lndc1ATMP"
"16","-0.077","0.19","0.173","11.203","lndc1PRES"
"17","0.009","0.382","0.382","10.31","obxc1ATMP"
"18","0.008","0.487","0.487","11.203","omhc1WSPD"
"19","0.028","0.53","0.53","11.203","omhc1GST"
"20","0.012","0.604","0.604","11.203","pcoc1WSPD"
"21","-0.044","0.643","0.642","11.203","pcoc1GST"
"22","0.009","0.828","0.828","10.557","pcoc1ATMP"
"23","0.014","0.331","0.331","11.203","pcoc1PRES"
"24","-0.037","0.592","0.591","11.203","ppxc1WSPD"
"25","0.166","0.704","0.684","11.203","ppxc1GST"
"26","0.069","0.547","0.542","11.203","ppxc1ATMP"
"27","0.011","0.128","0.127","11.203","ppxc1PRES"
"28","-0.024","0.549","0.548","11.203","psbc1WSPD"
"29","0.072","0.667","0.663","11.203","psbc1GST"
"30","0.003","1.188","1.188","11.203","psbc1ATMP"
"31","-0.105","0.472","0.46","11.203","psbc1PRES"
"32","-0.041","0.346","0.343","11.203","pxoc1ATMP"
"33","-0.023","0.331","0.33","10.628","pxsc1ATMP"
"34","-0.013","0.514","0.514","11.203","rcmc1WSPD"
"35","-0.048","0.594","0.592","11.203","rcmc1GST"
"36","0.041","0.471","0.47","11.203","rcmc1ATMP"
"37","0.174","0.255","0.187","11.203","rcmc1PRES"
"38","-0.001","0.359","0.359","11.203","rtyc1WSPD"
"39","0.003","0.437","0.437","11.203","rtyc1GST"
"40","-0.037","0.936","0.935","11.203","rtyc1ATMP"
"41","0.32","0.48","0.358","11.203","rtyc1PRES"
