"","lan","lon","RMSE","Variable","Methods"
"1",37.772,-122.3,0.91,"WSPD","PLSClust"
"2",38.056,-122.264,1.44,"WSPD","PLSClust"
"3",37.806,-122.466,1.22,"WSPD","PLSClust"
"4",37.795,-122.281,0.84,"WSPD","PLSClust"
"7",37.801,-122.33,1.24,"WSPD","PLSClust"
"8",38.056,-122.039,1.52,"WSPD","PLSClust"
"9",37.906,-122.365,1.65,"WSPD","PLSClust"
"10",38.04,-121.887,1.46,"WSPD","PLSClust"
"13",37.923,-122.41,1.14,"WSPD","PLSClust"
"14",37.507,-122.212,1,"WSPD","PLSClust"
"15",37.772,-122.3,1.1,"GST","PLSClust"
"21",38.056,-122.264,1.69,"GST","PLSClust"
"31",37.806,-122.466,1.54,"GST","PLSClust"
"41",37.795,-122.281,1.06,"GST","PLSClust"
"71",37.801,-122.33,1.38,"GST","PLSClust"
"81",38.056,-122.039,1.67,"GST","PLSClust"
"91",37.906,-122.365,1.95,"GST","PLSClust"
"101",38.04,-121.887,1.84,"GST","PLSClust"
"131",37.923,-122.41,1.33,"GST","PLSClust"
"141",37.507,-122.212,1.28,"GST","PLSClust"
"16",37.772,-122.3,0.99,"ATMP","PLSClust"
"22",38.056,-122.264,1.11,"ATMP","PLSClust"
"32",37.806,-122.466,1.1,"ATMP","PLSClust"
"42",37.795,-122.281,0.96,"ATMP","PLSClust"
"5",37.804,-122.341,0.92,"ATMP","PLSClust"
"82",38.056,-122.039,1.43,"ATMP","PLSClust"
"92",37.906,-122.365,1.03,"ATMP","PLSClust"
"102",38.04,-121.887,1.89,"ATMP","PLSClust"
"11",37.798,-122.393,0.91,"ATMP","PLSClust"
"12",37.803,-122.397,0.94,"ATMP","PLSClust"
"132",37.923,-122.41,0.97,"ATMP","PLSClust"
"142",37.507,-122.212,1.37,"ATMP","PLSClust"
"17",37.772,-122.3,1.61,"PRES","PLSClust"
"23",38.056,-122.264,1.67,"PRES","PLSClust"
"33",37.806,-122.466,1.64,"PRES","PLSClust"
