"","lan","lon","RMSE","Variable","Methods"
"1",37.772,-122.3,0.912100322709103,"WSPD","PLSClust"
"2",38.056,-122.264,1.43554604448363,"WSPD","PLSClust"
"3",37.806,-122.466,1.21533799186037,"WSPD","PLSClust"
"4",37.795,-122.281,0.836464729030126,"WSPD","PLSClust"
"7",37.801,-122.33,1.23505289862294,"WSPD","PLSClust"
"8",38.056,-122.039,1.52204568984336,"WSPD","PLSClust"
"9",37.906,-122.365,1.64652328630559,"WSPD","PLSClust"
"10",38.04,-121.887,1.46349056673693,"WSPD","PLSClust"
"13",37.923,-122.41,1.14371850733738,"WSPD","PLSClust"
"14",37.507,-122.212,1.00146388055628,"WSPD","PLSClust"
"15",37.772,-122.3,1.09721679544327,"GST","PLSClust"
"21",38.056,-122.264,1.68938253820206,"GST","PLSClust"
"31",37.806,-122.466,1.53509687807805,"GST","PLSClust"
"41",37.795,-122.281,1.06154375208184,"GST","PLSClust"
"71",37.801,-122.33,1.38120707194053,"GST","PLSClust"
"81",38.056,-122.039,1.66996894194975,"GST","PLSClust"
"91",37.906,-122.365,1.95076287451497,"GST","PLSClust"
"101",38.04,-121.887,1.83690517627567,"GST","PLSClust"
"131",37.923,-122.41,1.32975111741208,"GST","PLSClust"
"141",37.507,-122.212,1.27735756230613,"GST","PLSClust"
"16",37.772,-122.3,0.992725363608858,"ATMP","PLSClust"
"22",38.056,-122.264,1.10926947692971,"ATMP","PLSClust"
"32",37.806,-122.466,1.09638209064653,"ATMP","PLSClust"
"42",37.795,-122.281,0.964523391045598,"ATMP","PLSClust"
"5",37.804,-122.341,0.922028989165584,"ATMP","PLSClust"
"82",38.056,-122.039,1.43198464513217,"ATMP","PLSClust"
"92",37.906,-122.365,1.03440810794556,"ATMP","PLSClust"
"102",38.04,-121.887,1.8867464649229,"ATMP","PLSClust"
"11",37.798,-122.393,0.914455538400951,"ATMP","PLSClust"
"12",37.803,-122.397,0.936805886177966,"ATMP","PLSClust"
"132",37.923,-122.41,0.971526576564864,"ATMP","PLSClust"
"142",37.507,-122.212,1.37045349523852,"ATMP","PLSClust"
"17",37.772,-122.3,1.609780383476,"PRES","PLSClust"
"23",38.056,-122.264,1.6733842752058,"PRES","PLSClust"
"33",37.806,-122.466,1.64066114906505,"PRES","PLSClust"
"43",37.795,-122.281,1.63679082001021,"PRES","PLSClust"
"83",38.056,-122.039,1.69115222557364,"PRES","PLSClust"
"93",37.906,-122.365,1.64055619022324,"PRES","PLSClust"
"103",38.04,-121.887,1.77203019461655,"PRES","PLSClust"
"133",37.923,-122.41,1.66109483643335,"PRES","PLSClust"
"143",37.507,-122.212,1.6939187347568,"PRES","PLSClust"
"18",37.772,-122.3,0.933241168633878,"WSPD","PCAClust"
"24",38.056,-122.264,1.49188743311913,"WSPD","PCAClust"
"34",37.806,-122.466,1.2965005433828,"WSPD","PCAClust"
"44",37.795,-122.281,0.837588911352733,"WSPD","PCAClust"
"72",37.801,-122.33,1.29096061349736,"WSPD","PCAClust"
"84",38.056,-122.039,1.55817207581631,"WSPD","PCAClust"
"94",37.906,-122.365,1.73328349331471,"WSPD","PCAClust"
"104",38.04,-121.887,1.53946236752957,"WSPD","PCAClust"
"134",37.923,-122.41,1.24696598853412,"WSPD","PCAClust"
"144",37.507,-122.212,1.16382006405262,"WSPD","PCAClust"
"151",37.772,-122.3,1.11362651532326,"GST","PCAClust"
"211",38.056,-122.264,1.81407329087766,"GST","PCAClust"
"311",37.806,-122.466,1.64389474691169,"GST","PCAClust"
"411",37.795,-122.281,1.08555502117273,"GST","PCAClust"
"711",37.801,-122.33,1.42082614299711,"GST","PCAClust"
"811",38.056,-122.039,1.70832544153527,"GST","PCAClust"
"911",37.906,-122.365,2.05123177465529,"GST","PCAClust"
"1011",38.04,-121.887,1.918399079922,"GST","PCAClust"
"1311",37.923,-122.41,1.39679387108091,"GST","PCAClust"
"1411",37.507,-122.212,1.52456153297816,"GST","PCAClust"
"161",37.772,-122.3,0.94683099705624,"ATMP","PCAClust"
"221",38.056,-122.264,1.11809852543414,"ATMP","PCAClust"
"321",37.806,-122.466,1.06920840400136,"ATMP","PCAClust"
"421",37.795,-122.281,0.910053964535841,"ATMP","PCAClust"
"51",37.804,-122.341,0.886813408591985,"ATMP","PCAClust"
"821",38.056,-122.039,1.4654633260426,"ATMP","PCAClust"
"921",37.906,-122.365,0.997686827729409,"ATMP","PCAClust"
"1021",38.04,-121.887,1.92600747843999,"ATMP","PCAClust"
"111",37.798,-122.393,0.874706079659756,"ATMP","PCAClust"
"121",37.803,-122.397,0.923318891471186,"ATMP","PCAClust"
"1321",37.923,-122.41,0.926038094268044,"ATMP","PCAClust"
"1421",37.507,-122.212,1.32595549214991,"ATMP","PCAClust"
"171",37.772,-122.3,1.52981240077874,"PRES","PCAClust"
"231",38.056,-122.264,1.48995418668332,"PRES","PCAClust"
"331",37.806,-122.466,1.54095965776549,"PRES","PCAClust"
"431",37.795,-122.281,1.51315540332251,"PRES","PCAClust"
"831",38.056,-122.039,1.55211987294502,"PRES","PCAClust"
"931",37.906,-122.365,1.59177470669908,"PRES","PCAClust"
"1031",38.04,-121.887,1.65312923242447,"PRES","PCAClust"
"1331",37.923,-122.41,1.52746147715639,"PRES","PCAClust"
"1431",37.507,-122.212,1.65509141749779,"PRES","PCAClust"
