#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 12 31 23 49 243  3.2 99.0 99.00 99.00 99.00 999 1019.0  13.5 999.0 999.0 99.0 99.00
2018 01 01 00 54 248  3.4 99.0 99.00 99.00 99.00 999 1019.0  12.7 999.0 999.0 99.0 99.00
2018 01 01 01 49 237  2.9 99.0 99.00 99.00 99.00 999 1020.0  12.3 999.0 999.0 99.0 99.00
2018 01 01 02 49 247  2.6 99.0 99.00 99.00 99.00 999 1020.0  12.3 999.0 999.0 99.0 99.00
2018 01 01 03 49 232  4.1 99.0 99.00 99.00 99.00 999 1020.0  12.0 999.0 999.0 99.0 99.00
2018 01 01 04 49 251  2.9 99.0 99.00 99.00 99.00 999 1021.0  11.9 999.0 999.0 99.0 99.00
2018 01 01 05 49 223  4.1 99.0 99.00 99.00 99.00 999 1021.0  12.0 999.0 999.0 99.0 99.00
2018 01 01 06 49 239  1.3 99.0 99.00 99.00 99.00 999 1022.0  12.0 999.0 999.0 99.0 99.00
2018 01 01 07 49 267  0.8 99.0 99.00 99.00 99.00 999 1023.0  11.5 999.0 999.0 99.0 99.00
2018 01 01 08 49 289  1.4 99.0 99.00 99.00 99.00 999 1023.0  10.4 999.0 999.0 99.0 99.00
2018 01 01 09 49 293  0.8 99.0 99.00 99.00 99.00 999 1023.0  10.2 999.0 999.0 99.0 99.00
2018 01 01 10 49 319  1.4 99.0 99.00 99.00 99.00 999 1023.0   9.7 999.0 999.0 99.0 99.00
2018 01 01 11 49 228  0.7 99.0 99.00 99.00 99.00 999 1023.0   9.4 999.0 999.0 99.0 99.00
2018 01 01 12 49 308  1.1 99.0 99.00 99.00 99.00 999 1023.0   8.9 999.0 999.0 99.0 99.00
2018 01 01 13 49 262  1.4 99.0 99.00 99.00 99.00 999 1023.0   8.6 999.0 999.0 99.0 99.00
2018 01 01 14 49 283  0.8 99.0 99.00 99.00 99.00 999 1024.0   8.6 999.0 999.0 99.0 99.00
2018 01 01 15 49 268  0.0 99.0 99.00 99.00 99.00 999 1024.0   8.4 999.0 999.0 99.0 99.00
2018 01 01 16 49 332  1.3 99.0 99.00 99.00 99.00 999 1024.0   9.0 999.0 999.0 99.0 99.00
2018 01 01 17 49 344  0.8 99.0 99.00 99.00 99.00 999 1025.0   9.8 999.0 999.0 99.0 99.00
2018 01 01 18 49 340  0.0 99.0 99.00 99.00 99.00 999 1025.0  11.3 999.0 999.0 99.0 99.00
2018 01 01 19 49 316  1.6 99.0 99.00 99.00 99.00 999 1024.0  11.4 999.0 999.0 99.0 99.00
2018 01 01 20 49 321  3.5 99.0 99.00 99.00 99.00 999 1023.0  11.5 999.0 999.0 99.0 99.00
2018 01 01 21 49 337  3.4 99.0 99.00 99.00 99.00 999 1022.0  13.6 999.0 999.0 99.0 99.00
2018 01 01 22 49 309  2.6 99.0 99.00 99.00 99.00 999 1021.0  14.8 999.0 999.0 99.0 99.00
2018 01 01 23 49 275  1.7 99.0 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2018 01 02 00 49 287  2.8 99.0 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2018 01 02 01 49 334  1.9 99.0 99.00 99.00 99.00 999 1021.0  14.9 999.0 999.0 99.0 99.00
2018 01 02 02 49 301  2.0 99.0 99.00 99.00 99.00 999 1021.0  14.2 999.0 999.0 99.0 99.00
2018 01 02 03 49 283  2.6 99.0 99.00 99.00 99.00 999 1021.0  14.0 999.0 999.0 99.0 99.00
2018 01 02 04 49 337  2.5 99.0 99.00 99.00 99.00 999 1022.0  11.5 999.0 999.0 99.0 99.00
2018 01 02 05 49 282  2.2 99.0 99.00 99.00 99.00 999 1021.0  11.1 999.0 999.0 99.0 99.00
2018 01 02 06 49 335  2.0 99.0 99.00 99.00 99.00 999 1022.0  12.2 999.0 999.0 99.0 99.00
2018 01 02 07 49 333  2.2 99.0 99.00 99.00 99.00 999 1022.0  10.8 999.0 999.0 99.0 99.00
2018 01 02 08 49 313  1.7 99.0 99.00 99.00 99.00 999 1022.0  10.9 999.0 999.0 99.0 99.00
2018 01 02 09 49 321  2.0 99.0 99.00 99.00 99.00 999 1022.0  10.5 999.0 999.0 99.0 99.00
2018 01 02 10 49 299  4.1 99.0 99.00 99.00 99.00 999 1022.0  11.4 999.0 999.0 99.0 99.00
2018 01 02 11 49 266  2.5 99.0 99.00 99.00 99.00 999 1022.0  11.8 999.0 999.0 99.0 99.00
2018 01 02 12 49 313  2.8 99.0 99.00 99.00 99.00 999 1022.0  11.6 999.0 999.0 99.0 99.00
2018 01 02 13 49 286  1.7 99.0 99.00 99.00 99.00 999 1022.0  11.4 999.0 999.0 99.0 99.00
2018 01 02 14 49 314  1.7 99.0 99.00 99.00 99.00 999 1022.0  11.3 999.0 999.0 99.0 99.00
2018 01 02 15 49 273  2.3 99.0 99.00 99.00 99.00 999 1022.0  11.3 999.0 999.0 99.0 99.00
2018 01 02 16 49 296  4.4 99.0 99.00 99.00 99.00 999 1022.0  11.3 999.0 999.0 99.0 99.00
2018 01 02 17 49 311  4.7 99.0 99.00 99.00 99.00 999 1023.0  11.2 999.0 999.0 99.0 99.00
2018 01 02 18 49 320  5.3 99.0 99.00 99.00 99.00 999 1022.0  11.7 999.0 999.0 99.0 99.00
2018 01 02 19 49 297  4.0 99.0 99.00 99.00 99.00 999 1022.0  12.4 999.0 999.0 99.0 99.00
2018 01 02 20 49 323  5.6 99.0 99.00 99.00 99.00 999 1021.0  13.1 999.0 999.0 99.0 99.00
2018 01 02 21 49 302  3.8 99.0 99.00 99.00 99.00 999 1020.0  13.5 999.0 999.0 99.0 99.00
2018 01 02 22 49 336  5.0 99.0 99.00 99.00 99.00 999 1020.0  14.3 999.0 999.0 99.0 99.00
2018 01 02 23 49 308  4.7 99.0 99.00 99.00 99.00 999 1020.0  14.6 999.0 999.0 99.0 99.00
2018 01 03 00 49 325  3.1 99.0 99.00 99.00 99.00 999 1020.0  14.2 999.0 999.0 99.0 99.00
2018 01 03 01 49 311  2.6 99.0 99.00 99.00 99.00 999 1020.0  14.0 999.0 999.0 99.0 99.00
2018 01 03 02 49 284  2.5 99.0 99.00 99.00 99.00 999 1019.0  14.0 999.0 999.0 99.0 99.00
2018 01 03 03 49 305  3.5 99.0 99.00 99.00 99.00 999 1019.0  14.2 999.0 999.0 99.0 99.00
2018 01 03 04 49 323  2.6 99.0 99.00 99.00 99.00 999 1019.0  14.1 999.0 999.0 99.0 99.00
2018 01 03 05 49 286  1.7 99.0 99.00 99.00 99.00 999 1019.0  14.2 999.0 999.0 99.0 99.00
2018 01 03 06 49 309  4.0 99.0 99.00 99.00 99.00 999 1019.0  14.3 999.0 999.0 99.0 99.00
2018 01 03 07 49 319  3.8 99.0 99.00 99.00 99.00 999 1019.0  14.4 999.0 999.0 99.0 99.00
2018 01 03 08 49 312  4.0 99.0 99.00 99.00 99.00 999 1019.0  13.6 999.0 999.0 99.0 99.00
2018 01 03 09 49 299  4.0 99.0 99.00 99.00 99.00 999 1019.0  13.5 999.0 999.0 99.0 99.00
2018 01 03 10 49 305  3.5 99.0 99.00 99.00 99.00 999 1019.0  12.9 999.0 999.0 99.0 99.00
2018 01 03 11 49 293  1.6 99.0 99.00 99.00 99.00 999 1018.0  12.5 999.0 999.0 99.0 99.00
2018 01 03 12 49 317  4.4 99.0 99.00 99.00 99.00 999 1017.0  11.8 999.0 999.0 99.0 99.00
2018 01 03 13 49 292  2.8 99.0 99.00 99.00 99.00 999 1017.0  12.1 999.0 999.0 99.0 99.00
2018 01 03 14 49 328  1.9 99.0 99.00 99.00 99.00 999 1017.0  11.5 999.0 999.0 99.0 99.00
2018 01 03 15 49 307  2.5 99.0 99.00 99.00 99.00 999 1017.0  11.9 999.0 999.0 99.0 99.00
2018 01 03 16 49 330  1.3 99.0 99.00 99.00 99.00 999 1017.0  12.2 999.0 999.0 99.0 99.00
2018 01 03 17 49 329  4.1 99.0 99.00 99.00 99.00 999 1018.0  12.6 999.0 999.0 99.0 99.00
2018 01 03 18 49 315  3.2 99.0 99.00 99.00 99.00 999 1018.0  12.6 999.0 999.0 99.0 99.00
2018 01 03 19 49 318  2.0 99.0 99.00 99.00 99.00 999 1017.0  12.2 999.0 999.0 99.0 99.00
2018 01 03 20 49 283  1.0 99.0 99.00 99.00 99.00 999 1017.0  12.9 999.0 999.0 99.0 99.00
