#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 49 246  0.7 99.0 99.00 99.00 99.00 999 1014.0   9.0 999.0 999.0 99.0 99.00
2017 01 01 00 49 250  1.0 99.0 99.00 99.00 99.00 999 1014.0   8.8 999.0 999.0 99.0 99.00
2017 01 01 01 49 231  1.7 99.0 99.00 99.00 99.00 999 1014.0   8.8 999.0 999.0 99.0 99.00
2017 01 01 02 49 254  0.4 99.0 99.00 99.00 99.00 999 1015.0   8.0 999.0 999.0 99.0 99.00
2017 01 01 03 49 190  3.2 99.0 99.00 99.00 99.00 999 1014.0   8.6 999.0 999.0 99.0 99.00
2017 01 01 04 49 222  3.4 99.0 99.00 99.00 99.00 999 1015.0   9.1 999.0 999.0 99.0 99.00
2017 01 01 05 49 236  3.2 99.0 99.00 99.00 99.00 999 1014.0   9.0 999.0 999.0 99.0 99.00
2017 01 01 06 49 223  1.4 99.0 99.00 99.00 99.00 999 1014.0   9.1 999.0 999.0 99.0 99.00
2017 01 01 07 49 217  2.3 99.0 99.00 99.00 99.00 999 1014.0   9.3 999.0 999.0 99.0 99.00
2017 01 01 08 49 271  0.8 99.0 99.00 99.00 99.00 999 1014.0   8.5 999.0 999.0 99.0 99.00
2017 01 01 09 49 197  0.8 99.0 99.00 99.00 99.00 999 1014.0   7.2 999.0 999.0 99.0 99.00
2017 01 01 10 49 238  1.6 99.0 99.00 99.00 99.00 999 1014.0   7.8 999.0 999.0 99.0 99.00
2017 01 01 11 49 208  0.8 99.0 99.00 99.00 99.00 999 1013.0   7.2 999.0 999.0 99.0 99.00
2017 01 01 12 49 222  1.7 99.0 99.00 99.00 99.00 999 1013.0   8.0 999.0 999.0 99.0 99.00
2017 01 01 13 49 282  1.6 99.0 99.00 99.00 99.00 999 1013.0   7.4 999.0 999.0 99.0 99.00
2017 01 01 14 49 259  1.0 99.0 99.00 99.00 99.00 999 1013.0   6.6 999.0 999.0 99.0 99.00
2017 01 01 15 52   1  0.0 99.0 99.00 99.00 99.00 999 1014.0   7.2 999.0 999.0 99.0 99.00
2017 01 01 16 49 285  0.0 99.0 99.00 99.00 99.00 999 1014.0   7.7 999.0 999.0 99.0 99.00
2017 01 01 17 49   6  5.8 99.0 99.00 99.00 99.00 999 1014.0   8.0 999.0 999.0 99.0 99.00
2017 01 01 18 49  43  1.9 99.0 99.00 99.00 99.00 999 1015.0   8.7 999.0 999.0 99.0 99.00
2017 01 01 19 49 127  1.4 99.0 99.00 99.00 99.00 999 1014.0   9.2 999.0 999.0 99.0 99.00
2017 01 01 20 49  32  2.5 99.0 99.00 99.00 99.00 999 1013.0  11.0 999.0 999.0 99.0 99.00
2017 01 01 21 49 306  1.9 99.0 99.00 99.00 99.00 999 1013.0  11.3 999.0 999.0 99.0 99.00
2017 01 01 22 49 332  3.5 99.0 99.00 99.00 99.00 999 1013.0  11.7 999.0 999.0 99.0 99.00
2017 01 01 23 49 258  2.8 99.0 99.00 99.00 99.00 999 1013.0  10.0 999.0 999.0 99.0 99.00
2017 01 02 00 49  59  0.4 99.0 99.00 99.00 99.00 999 1013.0   9.6 999.0 999.0 99.0 99.00
2017 01 02 01 49 303  1.6 99.0 99.00 99.00 99.00 999 1013.0   8.7 999.0 999.0 99.0 99.00
2017 01 02 02 49 241  2.0 99.0 99.00 99.00 99.00 999 1014.0   8.7 999.0 999.0 99.0 99.00
